,Path,Real Class Name,Predicted Class Name,Predicted Class Number
0,imagenetv2-matched-frequency-format-val/745/baa9ae6600c01d33863b640dc1095831f46fff7e.jpeg,projector,Polaroid_camera,732
1,imagenetv2-matched-frequency-format-val/745/8799385e883a820159460b9123f8e9a0d720b265.jpeg,projector,upright,881
2,imagenetv2-matched-frequency-format-val/745/ea2679db0b3cd4b0a85db58bab43af0c047343a4.jpeg,projector,face_powder,551
3,imagenetv2-matched-frequency-format-val/420/dd7117ba298f095c1b802f83116efcf79f881d42.jpeg,banjo,accordion,401
4,imagenetv2-matched-frequency-format-val/420/306eda83953306360e3b7da8845f14abcaa252f8.jpeg,banjo,sax,776
5,imagenetv2-matched-frequency-format-val/420/e90654589f2b43d5b6e903a2dd784bf98a06f662.jpeg,banjo,hair_slide,584
6,imagenetv2-matched-frequency-format-val/420/227651008a843c8a1b5d2735b51379244ab867f4.jpeg,banjo,syringe,845
7,imagenetv2-matched-frequency-format-val/284/b57ce5b270fd737c78264553d0877306c6e046db.jpeg,Siamese_cat,plastic_bag,728
8,imagenetv2-matched-frequency-format-val/284/2895291027a7b3a8ccbd533ac748940cac882619.jpeg,Siamese_cat,malinois,225
9,imagenetv2-matched-frequency-format-val/284/d7df634be61cb4ac299f9e96ec8f92674efbd967.jpeg,Siamese_cat,Egyptian_cat,285
10,imagenetv2-matched-frequency-format-val/284/6110268371897987a61efcd7b4fa3dd17e98a94c.jpeg,Siamese_cat,swing,843
11,imagenetv2-matched-frequency-format-val/284/a7f78369824d79054ed1e324bd4ddbfd78b6144f.jpeg,Siamese_cat,Persian_cat,283
12,imagenetv2-matched-frequency-format-val/510/bc172de246313cc456bfd9939f52761926664871.jpeg,container_ship,fireboat,554
13,imagenetv2-matched-frequency-format-val/510/7e047adf6e2984b281c0f3fb032a741760e6b770.jpeg,container_ship,fireboat,554
14,imagenetv2-matched-frequency-format-val/287/9cc65cead6749f3af9801d19b34614ae1189312e.jpeg,lynx,lion,291
15,imagenetv2-matched-frequency-format-val/38/53c24e834f1e2fdaa13024313b61446675572d47.jpeg,banded_gecko,pomegranate,957
16,imagenetv2-matched-frequency-format-val/38/6a63a294341844f1cc2d6f3ae1276d9b0c4eb041.jpeg,banded_gecko,Gila_monster,45
17,imagenetv2-matched-frequency-format-val/335/b85131a6b7f0ac5b46dfae18eee074c5aecef302.jpeg,fox_squirrel,piggy_bank,719
18,imagenetv2-matched-frequency-format-val/335/58f9df92699bcbf52b87fedf4d174fccb2b05eb6.jpeg,fox_squirrel,coucal,91
19,imagenetv2-matched-frequency-format-val/409/6b337d343c0ba812be0fe9fc2609d29c8965163a.jpeg,analog_clock,stopwatch,826
20,imagenetv2-matched-frequency-format-val/409/172e417861c52e747579ac6501a7611c08cb7db2.jpeg,analog_clock,wall_clock,892
21,imagenetv2-matched-frequency-format-val/990/1c771cf0f7aa7939a3cf0a943a987939f25b53ce.jpeg,buckeye,fox_squirrel,335
22,imagenetv2-matched-frequency-format-val/386/d8cd0eae305a2b05954534f70db28ef844102709.jpeg,African_elephant,Indian_elephant,385
23,imagenetv2-matched-frequency-format-val/386/93a016693711384ef08c6b38cfa73e76476ca7ec.jpeg,African_elephant,tusker,101
24,imagenetv2-matched-frequency-format-val/300/e359b218a779968e78d322f6281fd3ecbdaadde8.jpeg,tiger_beetle,fiddler_crab,120
25,imagenetv2-matched-frequency-format-val/727/86d8eabcf4b1dd41efea7c583038e3c824417281.jpeg,planetarium,dome,538
26,imagenetv2-matched-frequency-format-val/727/69d89714dc655903e6b61821a387ed6f856454fc.jpeg,planetarium,barn,425
27,imagenetv2-matched-frequency-format-val/727/ea0eb8808f617ab2ecd14aaddf0a1d319844ec4e.jpeg,planetarium,palace,698
28,imagenetv2-matched-frequency-format-val/177/d872811789620bb7399b97310c64fd71b8bca901.jpeg,Scottish_deerhound,Irish_wolfhound,170
29,imagenetv2-matched-frequency-format-val/177/8939ddd20cd8142e7d7c114a92f0394a4c4a4c5b.jpeg,Scottish_deerhound,Irish_wolfhound,170
30,imagenetv2-matched-frequency-format-val/888/df4bb833cb797a016fa1b9b890f6472af51457b2.jpeg,viaduct,steel_arch_bridge,821
31,imagenetv2-matched-frequency-format-val/888/2f8286cc642f8ee1109cebac7376b6e4aec5ca38.jpeg,viaduct,valley,979
32,imagenetv2-matched-frequency-format-val/888/a4546491e8fd3378c965195b52e5c3b2937e65dc.jpeg,viaduct,steel_arch_bridge,821
33,imagenetv2-matched-frequency-format-val/888/9d9785ec6e3c07b6c50a054a873fa4a531af2ea7.jpeg,viaduct,triumphal_arch,873
34,imagenetv2-matched-frequency-format-val/888/393ede9ab2878313a4bffff372a16ac04824cc0b.jpeg,viaduct,dam,525
35,imagenetv2-matched-frequency-format-val/331/7ffabf7edfc4cecc7ffb0cb71732171c7c05ffce.jpeg,hare,wood_rabbit,330
36,imagenetv2-matched-frequency-format-val/331/8898b2aa993add6fb1bf740e32eb5d0d11be821f.jpeg,hare,coyote,272
37,imagenetv2-matched-frequency-format-val/194/d5e0dca4dbbc95457c65822df3eb86d64fc928f6.jpeg,Dandie_Dinmont,Sealyham_terrier,190
38,imagenetv2-matched-frequency-format-val/194/e46d14702fbe0076ca28a1a9b1ce2c22805fc4b0.jpeg,Dandie_Dinmont,Sealyham_terrier,190
39,imagenetv2-matched-frequency-format-val/194/3e1ec7b5d7e330dbe40326d7eac86467132bae40.jpeg,Dandie_Dinmont,Sealyham_terrier,190
40,imagenetv2-matched-frequency-format-val/194/9738079feadc85a2fea67adcbcf6621b7060460f.jpeg,Dandie_Dinmont,Norfolk_terrier,185
41,imagenetv2-matched-frequency-format-val/194/8a1e6d84a4e8caf084918d0d5989b40b28199679.jpeg,Dandie_Dinmont,Lhasa,204
42,imagenetv2-matched-frequency-format-val/210/e796c635a7eb660acb5847ee7a279febf36f631d.jpeg,German_short-haired_pointer,bluetick,164
43,imagenetv2-matched-frequency-format-val/210/a73eac2f5f9c625ae1ee3c106123a01a7fb65dfc.jpeg,German_short-haired_pointer,bighorn,349
44,imagenetv2-matched-frequency-format-val/210/530b1bb8ffaaf4d56f03590bbfaf12aecb198a8e.jpeg,German_short-haired_pointer,standard_poodle,267
45,imagenetv2-matched-frequency-format-val/210/463ad39e68e6b48ada75579f05164fe851d66245.jpeg,German_short-haired_pointer,bluetick,164
46,imagenetv2-matched-frequency-format-val/210/26e0a1357099921c09fb20370bef9fb019c8ec35.jpeg,German_short-haired_pointer,Staffordshire_bullterrier,179
47,imagenetv2-matched-frequency-format-val/210/3a1fd31ad1b0233368b5362a82c25a6d1192b765.jpeg,German_short-haired_pointer,Weimaraner,178
48,imagenetv2-matched-frequency-format-val/210/a715fc01769bfb5ea0225edb486a2c63332828d9.jpeg,German_short-haired_pointer,Weimaraner,178
49,imagenetv2-matched-frequency-format-val/210/8e325ee71c5d39585c7efeb765361c91fe2c7409.jpeg,German_short-haired_pointer,Weimaraner,178
50,imagenetv2-matched-frequency-format-val/282/440e1d2ffedac8fadf76efb94a2462a89689a7d4.jpeg,tiger_cat,jaguar,290
51,imagenetv2-matched-frequency-format-val/282/ee64b072c1153db6e6727ad0ecb1546c192ed41e.jpeg,tiger_cat,grey_fox,280
52,imagenetv2-matched-frequency-format-val/282/7f9482126f5ab4fa1fef1cb90bcdbb8063b81a3f.jpeg,tiger_cat,tiger,292
53,imagenetv2-matched-frequency-format-val/282/533a13c8fc155d2df03a390b94a4eceb78599810.jpeg,tiger_cat,tiger,292
54,imagenetv2-matched-frequency-format-val/282/a3991d1d32b3ba44e0f8ba213a39cbb1e877e86a.jpeg,tiger_cat,tiger,292
55,imagenetv2-matched-frequency-format-val/282/f616c12e77e8fd87bbf2e29f6a5c1e17d8b53ba5.jpeg,tiger_cat,Egyptian_cat,285
56,imagenetv2-matched-frequency-format-val/282/4815abd9ecbff52934f3ed8fcc22ee2d4fcbb1c5.jpeg,tiger_cat,tiger,292
57,imagenetv2-matched-frequency-format-val/282/1fa47d6459f9366353a1096448f249c19887ff0c.jpeg,tiger_cat,tabby,281
58,imagenetv2-matched-frequency-format-val/282/c3848c4db58e85765949b0b8a8785739f34c6ca1.jpeg,tiger_cat,tiger,292
59,imagenetv2-matched-frequency-format-val/282/f368614af9ea8e47e0cf0e7a40ef2d4ddfac58c5.jpeg,tiger_cat,tabby,281
60,imagenetv2-matched-frequency-format-val/605/df011c6d05e08eb071ac2c3c022df8d9f59b84c3.jpeg,iPod,computer_keyboard,508
61,imagenetv2-matched-frequency-format-val/605/c3c97d1e140a3e8a49923552ffbc21bcc1312bcd.jpeg,iPod,remote_control,761
62,imagenetv2-matched-frequency-format-val/605/4fe0c58ff8943c0ed6076c571236a28c36b0478e.jpeg,iPod,backpack,414
63,imagenetv2-matched-frequency-format-val/605/9eacca8650c19eeab917671d6e9bc4d4a5f0c7be.jpeg,iPod,desktop_computer,527
64,imagenetv2-matched-frequency-format-val/605/ebfd94f66c6be28de13c6849a1d0ff58ef4c85ac.jpeg,iPod,computer_keyboard,508
65,imagenetv2-matched-frequency-format-val/605/36471710d2038cd8e927c00f7e233f8eeefd4a76.jpeg,iPod,bookshop,454
66,imagenetv2-matched-frequency-format-val/166/cf2ac2331586453880391919fedee458248133dc.jpeg,Walker_hound,beagle,162
67,imagenetv2-matched-frequency-format-val/166/9efcda7a350e82d2dc958abcdf4ea1516793dbda.jpeg,Walker_hound,bluetick,164
68,imagenetv2-matched-frequency-format-val/166/b1eed6b8e0009fd7864de70098e130dc3096c453.jpeg,Walker_hound,beagle,162
69,imagenetv2-matched-frequency-format-val/166/7b49d69102ecc166b6585be056b0085ded140e5a.jpeg,Walker_hound,schipperke,223
70,imagenetv2-matched-frequency-format-val/438/599c031d8afd3344b80937d794df6c6fcae8211d.jpeg,beaker,goblet,572
71,imagenetv2-matched-frequency-format-val/438/b44ffdc2fa6ddd5925b942c04b7f1dcd084fec6a.jpeg,beaker,candle,470
72,imagenetv2-matched-frequency-format-val/438/8b5b9db0ab3db9b42c23112e3876a7d94e1c6958.jpeg,beaker,restaurant,762
73,imagenetv2-matched-frequency-format-val/438/d192fc08e470edeaa498d0b3136b144592c76877.jpeg,beaker,beer_glass,441
74,imagenetv2-matched-frequency-format-val/998/e27dbeb170ccc13025e9942539098cc46b8da625.jpeg,ear,lakeside,975
75,imagenetv2-matched-frequency-format-val/998/74cb26563268c2afd2d466aca4267f452fb359d3.jpeg,ear,corn,987
76,imagenetv2-matched-frequency-format-val/998/8a6ac75b36a71bf61bd85ce2c7dbe230ae645ae8.jpeg,ear,corn,987
77,imagenetv2-matched-frequency-format-val/998/2b40862e430f66e5e47dd856e966d2413e179e7b.jpeg,ear,corn,987
78,imagenetv2-matched-frequency-format-val/998/87336739bb0a8da8540f455e5f9cff61a87693f4.jpeg,ear,hermit_crab,125
79,imagenetv2-matched-frequency-format-val/998/55f733f78463bbbed07b84ba796d7d7722daaba6.jpeg,ear,rapeseed,984
80,imagenetv2-matched-frequency-format-val/490/29a9110bb791781d5093916d0efe151d3cf3ed73.jpeg,chain_mail,chain,488
81,imagenetv2-matched-frequency-format-val/490/f1bc9bd47433a63665548d938e3643d23185b6f8.jpeg,chain_mail,vestment,887
82,imagenetv2-matched-frequency-format-val/490/31a4edc01ed20f70960f365fc4264993c1053d71.jpeg,chain_mail,purse,748
83,imagenetv2-matched-frequency-format-val/263/4364566b33bd794a87a2c37502607d1822c92501.jpeg,Pembroke,Cardigan,264
84,imagenetv2-matched-frequency-format-val/263/dfece70397302b38dbcf24917326600a06836218.jpeg,Pembroke,Cardigan,264
85,imagenetv2-matched-frequency-format-val/263/d1fadacc568d9f1af8feb763f370d32d2e95b1ae.jpeg,Pembroke,Cardigan,264
86,imagenetv2-matched-frequency-format-val/263/7dfe98487196a34c87368dfd76c25e184d68dbf9.jpeg,Pembroke,malamute,249
87,imagenetv2-matched-frequency-format-val/754/e083b770a81450ca5a7c58188b35e3c25823ba60.jpeg,radio,tape_player,848
88,imagenetv2-matched-frequency-format-val/754/74781fec9c6eba433ba590ab6e093700dd410410.jpeg,radio,switch,844
89,imagenetv2-matched-frequency-format-val/754/2dc145f23e0956f97db5a558d98ccd8a32b79834.jpeg,radio,television,851
90,imagenetv2-matched-frequency-format-val/754/2373ea8972920cbda72d3cc94c4710158e0b91a6.jpeg,radio,CD_player,485
91,imagenetv2-matched-frequency-format-val/754/bd26b98267589634ad67714826eeaf9b98db8492.jpeg,radio,combination_lock,507
92,imagenetv2-matched-frequency-format-val/754/7f0b8611c626a26ca37d96271025f7bda018ce39.jpeg,radio,altar,406
93,imagenetv2-matched-frequency-format-val/754/ae6c7c340f7e25185a75863861c86d1e5cb9f24e.jpeg,radio,CD_player,485
94,imagenetv2-matched-frequency-format-val/754/50b04e5d1295f22b17bd33234e18b89d8014d7d7.jpeg,radio,quill,749
95,imagenetv2-matched-frequency-format-val/559/f6fa3d6da02771e8874541fc89e7090002404297.jpeg,folding_chair,matchstick,644
